fluid_temp,air_umidity,dm3_gas
22.41,98.3,0.0
21.94,99.4,0.0
21.82,99.0,0.0
14.88,94.1,0.0
22.375,99.5,0.005
23.405,96.9,0.0
20.786,94.82,0.0
19.98857142857143,94.91428571428571,0.0014285714285714286
17.0,97.6,0.0
15.56,96.0,0.0
-15.3125,91.75,0.0
-29.896666666666665,94.3,0.0
17.44,99.9,0.0
22.215,94.0,0.0
20.375,87.5,0.0
20.3125,94.7,0.0
23.375,92.3,0.0
20.72,96.0,0.0
23.655,98.6,0.0
22.495,95.85,0.0
24.03,95.7,0.0
23.905,96.7,0.0
19.47,92.6,0.0
24.060000000000002,94.4,0.0
23.19,95.7,0.0
-15.14,93.80000000000001,0.0
17.38,93.0,0.0
22.345,94.4,0.0
14.62,90.6,0.0
23.375,90.3,0.0
19.41,93.9,0.0
23.845,99.1,0.005
22.098,97.18,0.002
22.095,96.2,0.0
16.19,95.8,0.0
24.0,98.4,0.005
23.78,97.9,0.005
23.69,99.9,0.0
16.97,94.2,0.0
23.5625,95.2,0.0025
23.314999999999998,91.5,0.0
22.314999999999998,93.7,0.0
22.375,89.7,0.0
14.12,96.6,0.0
